Date,Category,Amount,Note,Is Spending?,Is big spending?
05/01/2014,Linh tinh,5.000,"Bánh tráng trộn Loan, Linh",1,
05/01/2014,Ăn tối,150.000,"Lẫu với Loan, Linh",1,
05/01/2014,Linh tinh,16.000,Nước ngọt,1,
06/01/2014,Ăn sáng,17.000,Bánh cuốn,1,
06/01/2014,Linh tinh,36.000,Dừa,1,
06/01/2014,Linh tinh,240.000,Hạt điều,1,
06/01/2014,Gửi xe,4.000,Sân bóng 917A,1,
06/01/2014,Ăn tối,25.000,Phở Thạch Anh Gò Dầu,1,
07/01/2014,Linh tinh,3.500,Thuốc nhỏ mắt,1,
07/01/2014,Đổ xăng,50.000,Tân Kỳ Tân Quý,1,
07/01/2014,Ăn tối,50.000,Bò bít tết K300,1,
07/01/2014,Linh tinh,470.000,Túi xách,1,
08/01/2014,Ăn sáng,15.000,Bánh cuốn,1,
08/01/2014,Ăn trưa,50.000,Phở đuôi bò,1,
08/01/2014,Trả tiền mượn,50.000,Thanh,0,
08/01/2014,Ăn tối,23.000,Cơm tấm Trương Vĩnh Ký,1,
09/01/2014,Ăn sáng,27.000,Mì quảng Tân Sơn Nhì,1,
09/01/2014,Ăn trưa,76.000,Cơm + sinh tố Refresh,1,
09/01/2014,Mượn,-20.000,Anh Đường,0,
09/01/2014,Linh tinh,41.000,Bánh mì + nước ngọt,1,
09/01/2014,Gửi xe,3.000,Sân bóng Hiệp Phát,1,
09/01/2014,Ăn tối,23.000,Bún chả cá,1,
09/01/2014,Linh tinh,1.000,Bù tiền nước ngọt cho Nhân,1,
10/01/2014,Ăn sáng,12.000,Bánh mì Thổ Nhĩ Kỳ,1,
10/01/2014,Ăn trưa,30.000,Cơm,1,
10/01/2014,Đổ xăng,40.000,Nguyễn Tất Thành,1,
10/01/2014,Gửi xe,5.000,Corga bar,1,
10/01/2014,Linh tinh,120.000,SM,1,
11/01/2014,Linh tinh,150.000,KS Gia Phúc,1,
11/01/2014,Linh tinh,16.000,Revive,1,
11/01/2014,Gửi xe,4.000,Sân bóng 917A,1,
11/01/2014,Ăn trưa,21.000,Cơm Trương Vĩnh Ký,1,
11/01/2014,Ăn tối,25.000,Bún chả cá,1,
11/01/2014,Linh tinh,8.000,Nước suối,1,
12/01/2014,Ăn sáng,18.000,Bánh canh cá lóc Lê Đình Thám,1,
12/01/2014,Nhậu,545.000,Nhà Hai,1,
12/01/2014,Linh tinh,250.000,SM,1,
12/01/2014,Đổ xăng,50.000,Bạch Đằng,1,
12/01/2014,Linh tinh,20.000,"Xúc xích, cá viên chiên",1,
12/01/2014,Linh tinh,18.000,Sinh tố,1,
13/01/2014,Linh tinh,15.000,Sửa đèn xe,1,
13/01/2014,Linh tinh,15.000,Bánh cuốn,1,
13/01/2014,Linh tinh,500,Bỏ heo,1,
13/01/2014,Linh tinh,349.000,Siêu thị,1,
13/01/2014,Ăn trưa,25.000,Coơm siêu thị,1,
13/01/2014,Rút tài khoản,-20.000,,0,
13/01/2014,Cho mượn,20.000,Anh Lộc,0,
13/01/2014,Thu tiền mượn,-20.000,Anh Lộc,0,
13/01/2014,Linh tinh,16.000,Revive,1,
13/01/2014,Gửi xe,4.000,Sân bóng 917A,1,
13/01/2014,Ăn tối,15.000,Bánh mì,1,
14/01/2014,Ăn sáng,15.000,Bánh canh cá lóc Lê Đình Thám,1,
14/01/2014,Ăn trưa,30.000,Hủ tiếu khô Lê Tú,1,
14/01/2014,Linh tinh,47.000,Bánh mì + nước ngọt,1,
14/01/2014,Nhậu,150.000,Với team HOC GE,1,
14/01/2014,Linh tinh,18.000,Sinh tố dâu,1,
15/01/2014,Ăn trưa,180.000,Aeon Mall,1,
15/01/2014,Trả tiền mượn,20.000,Anh Đường,0,
15/01/2014,Ăn tối,25.000,Bún cá ngừ,1,
15/01/2014,Rút tài khoản,-2.000.000,,0,
15/01/2014,Phòng,900.000,,1,
16/01/2014,Ăn trưa,30.000,Cơm,1,
16/01/2014,Đổ xăng,50.000,Bàu Cát,1,
16/01/2014,Ăn tối,12.000,Bột chiên,1,
17/01/2014,Ăn sáng,20.000,Bánh cuốn,1,
17/01/2014,Linh tinh,30.000,Vé số,1,
17/01/2014,Mượn,-37.000,Anh Đường,0,
17/01/2014,Ăn trưa,37.000,Bún giò,1,
17/01/2014,Ăn tối,22.000,Cơm tấm Trương Vĩnh Ký,1,
18/01/2014,Ăn sáng,15.000,Bánh canh cá lóc Lê Đình Thám,1,
18/01/2014,Linh tinh,16.000,Revive,1,
18/01/2014,Gửi xe,4.000,Sân bóng 917A,1,
18/01/2014,Nhậu,50.000,Với team đá banh thứ 7,1,
18/01/2014,Linh tinh,20.000,Đá PES với team đá banh thứ 7,1,
18/01/2014,Cho mượn,20.000,Tuấn Nghé,0,
18/01/2014,Ăn tối,27.000,Mì quảng,1,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
,,,,-,
